Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,MA_7,MA_30,MA_90,Volatility_30d,Day_of_Week,Month,Year,Quarter
2015-11-08,384.28,389.89,368.7,373.37,51817600,-3.39,21.19,-10.91,385.26,302.18,258.36,3.73,Sunday,11,2015,4
2015-11-09,374.32,385.28,362.89,380.26,68224400,1.85,22.38,5.93,387.99,306.69,259.58,3.73,Monday,11,2015,4
2015-11-10,379.98,381.39,329.11,336.82,95797904,-11.42,52.28,-43.17,378.47,309.68,260.36,4.42,Tuesday,11,2015,4
2015-11-11,339.82,340.58,301.0,311.08,107070000,-7.64,39.59,-28.74,364.12,311.87,260.88,4.69,Wednesday,11,2015,4
2015-11-12,314.08,345.08,313.36,338.15,78477800,8.7,31.73,24.07,357.23,314.83,261.69,4.9,Thursday,11,2015,4
2015-11-13,338.5,340.91,326.08,336.75,52003000,-0.41,14.84,-1.74,351.85,317.65,262.52,4.91,Friday,11,2015,4
2015-11-14,336.62,338.18,329.97,332.91,38612000,-1.14,8.21,-3.72,344.19,320.27,263.35,4.92,Saturday,11,2015,4
2015-11-15,333.05,334.66,317.49,320.17,44213100,-3.83,17.17,-12.89,336.59,322.18,264.04,4.98,Sunday,11,2015,4
2015-11-16,319.73,331.63,315.9,330.75,47980100,3.31,15.72,11.02,329.52,324.19,265.37,4.99,Monday,11,2015,4
2015-11-17,330.36,338.35,329.61,335.09,51001600,1.31,8.74,4.73,329.27,326.63,266.58,4.93,Tuesday,11,2015,4
2015-11-18,334.59,336.53,330.64,334.59,43783800,-0.15,5.89,-0.0,332.63,329.01,267.68,4.93,Wednesday,11,2015,4
2015-11-19,334.68,335.33,325.27,326.15,45011100,-2.52,10.06,-8.53,330.92,330.9,268.72,4.96,Thursday,11,2015,4
2015-11-20,326.41,326.47,312.22,322.02,53152900,-1.27,14.26,-4.39,328.81,332.75,269.74,4.96,Friday,11,2015,4
2015-11-21,322.09,328.16,319.6,326.93,28200500,1.52,8.56,4.83,327.96,334.52,270.83,4.95,Saturday,11,2015,4
2015-11-22,326.98,327.01,321.26,324.54,23439400,-0.73,5.75,-2.44,328.58,336.12,272.1,4.96,Sunday,11,2015,4
2015-11-23,324.35,325.12,321.29,323.05,27478900,-0.46,3.83,-1.3,327.48,337.5,273.23,4.95,Monday,11,2015,4
2015-11-24,323.01,323.06,318.12,320.05,29362600,-0.93,4.94,-2.97,325.33,338.71,274.27,4.96,Tuesday,11,2015,4
2015-11-25,320.05,329.13,316.77,328.21,41666900,2.55,12.36,8.16,324.42,340.14,275.42,4.98,Wednesday,11,2015,4
2015-11-26,328.3,366.76,328.23,352.68,106105000,7.46,38.53,24.38,328.21,342.1,276.77,5.11,Thursday,11,2015,4
2015-11-27,351.86,363.59,347.87,358.04,55179100,1.52,15.72,6.18,333.36,343.88,278.2,5.09,Friday,11,2015,4
2015-11-28,357.14,359.54,352.17,357.38,36816600,-0.18,7.36,0.24,337.71,345.34,279.63,5.07,Saturday,11,2015,4
2015-11-29,357.47,371.94,355.67,371.29,40409300,3.89,16.27,13.82,344.39,346.78,281.2,5.05,Sunday,11,2015,4
2015-11-30,371.44,382.36,370.38,377.32,71701600,1.62,11.98,5.88,352.14,348.88,282.85,4.98,Monday,11,2015,4
2015-12-01,377.41,378.93,356.56,362.49,60452200,-3.93,22.37,-14.93,358.2,350.12,284.33,5.02,Tuesday,12,2015,4
2015-12-02,361.85,362.23,349.46,359.19,54160500,-0.91,12.77,-2.66,362.63,350.05,285.8,4.61,Wednesday,12,2015,4
2015-12-03,359.33,370.27,357.41,361.05,50714900,0.52,12.86,1.71,363.82,348.64,287.25,4.06,Thursday,12,2015,4
2015-12-04,361.26,363.52,355.76,363.18,35784100,0.59,7.76,1.92,364.56,347.03,288.68,4.04,Friday,12,2015,4
2015-12-05,363.72,389.79,363.23,388.95,66282200,7.09,26.56,25.23,369.07,347.11,290.33,4.11,Saturday,12,2015,4
2015-12-06,389.55,402.81,387.09,388.78,77762000,-0.04,15.72,-0.77,371.57,347.59,291.99,4.06,Sunday,12,2015,4
2015-12-07,389.98,399.97,385.41,395.54,63455800,1.74,14.56,5.56,374.17,347.89,293.68,4.03,Monday,12,2015,4
2015-12-08,395.75,415.56,389.95,415.56,57801400,5.06,25.61,19.81,381.75,349.3,295.65,4.07,Tuesday,12,2015,4
2015-12-09,414.44,423.12,406.29,417.56,90917200,0.48,16.83,3.12,390.09,350.54,297.64,4.06,Wednesday,12,2015,4
2015-12-10,417.99,419.51,411.55,415.48,52138900,-0.5,7.96,-2.51,397.87,353.16,299.59,3.4,Thursday,12,2015,4
2015-12-11,415.28,451.94,415.28,451.94,110944000,8.78,36.66,36.66,410.54,357.86,301.99,3.33,Friday,12,2015,4
2015-12-12,452.33,469.1,410.74,435.0,131969000,-3.75,58.36,-17.34,417.12,361.09,304.27,3.14,Saturday,12,2015,4
2015-12-13,431.66,441.68,426.27,433.76,55050600,-0.29,15.41,2.1,423.55,364.32,306.52,3.14,Sunday,12,2015,4
2015-12-14,433.27,447.14,430.46,444.18,130496000,2.4,16.69,10.91,430.5,368.03,308.9,3.13,Monday,12,2015,4
2015-12-15,443.88,465.32,443.88,465.32,83121104,4.76,21.44,21.44,437.61,372.87,311.52,3.06,Tuesday,12,2015,4
2015-12-16,465.21,465.21,443.85,454.93,107944000,-2.23,21.36,-10.27,442.94,377.01,314.02,3.11,Wednesday,12,2015,4
2015-12-17,454.78,457.86,448.86,456.08,47978400,0.25,9.0,1.3,448.74,381.04,316.5,3.11,Thursday,12,2015,4
2015-12-18,455.85,465.18,454.94,463.62,60220100,1.65,10.24,7.77,450.41,385.34,319.08,3.1,Friday,12,2015,4
2015-12-19,463.55,465.58,456.77,462.32,47892700,-0.28,8.82,-1.23,454.32,389.88,321.65,3.04,Saturday,12,2015,4
2015-12-20,462.23,462.64,434.34,442.68,75409400,-4.25,28.31,-19.55,455.59,393.9,324.05,3.17,Sunday,12,2015,4
2015-12-21,442.84,444.73,427.31,438.64,77639696,-0.91,17.42,-4.2,454.8,397.63,326.36,3.19,Monday,12,2015,4
2015-12-22,437.44,443.69,435.52,436.57,50840400,-0.47,8.17,-0.86,450.69,401.36,328.65,3.18,Tuesday,12,2015,4
2015-12-23,436.72,444.53,436.62,442.4,47161400,1.34,7.91,5.68,448.9,405.34,330.96,3.17,Wednesday,12,2015,4
2015-12-24,443.09,458.46,443.08,454.98,57157200,2.84,15.38,11.89,448.75,409.84,333.4,3.16,Thursday,12,2015,4
2015-12-25,454.86,458.3,452.08,455.65,39078500,0.15,6.23,0.8,447.61,414.09,335.86,3.16,Friday,12,2015,4
2015-12-26,455.76,457.49,405.76,417.27,116166000,-8.42,51.73,-38.48,441.17,416.24,337.91,3.39,Saturday,12,2015,4
2015-12-27,416.51,424.01,408.88,422.82,53591200,1.33,15.12,6.31,438.34,418.4,339.95,3.38,Sunday,12,2015,4
2015-12-28,423.34,429.77,418.48,422.28,49638600,-0.13,11.29,-1.06,436.0,420.56,342.01,3.38,Monday,12,2015,4
2015-12-29,422.1,432.98,420.63,432.98,51596500,2.53,12.36,10.89,435.49,422.62,344.2,3.35,Tuesday,12,2015,4
2015-12-30,433.3,434.39,422.08,426.62,46889400,-1.47,12.3,-6.68,433.23,424.26,346.3,3.36,Wednesday,12,2015,4
2015-12-31,425.88,432.92,418.73,430.57,45996600,0.93,14.19,4.69,429.74,426.53,348.45,3.26,Thursday,12,2015,4
2016-01-01,430.72,436.25,427.52,434.33,36278900,0.87,8.73,3.61,426.7,429.04,350.62,3.24,Friday,1,2016,1
2016-01-02,434.62,436.06,431.87,433.44,30096600,-0.21,4.19,-1.18,429.01,431.45,352.79,3.25,Saturday,1,2016,1
2016-01-03,433.58,433.74,424.71,430.01,39633800,-0.79,9.04,-3.57,430.03,433.68,354.9,3.26,Sunday,1,2016,1
2016-01-04,430.06,434.52,429.08,433.09,38477500,0.72,5.43,3.03,431.58,435.15,356.98,3.02,Monday,1,2016,1
2016-01-05,433.07,434.18,429.68,431.96,34522600,-0.26,4.51,-1.11,431.43,436.59,359.08,3.02,Tuesday,1,2016,1
2016-01-06,431.86,431.86,426.34,429.11,34042500,-0.66,5.51,-2.75,431.79,437.71,361.15,3.02,Wednesday,1,2016,1
2016-01-07,430.01,458.77,429.08,458.05,87562200,6.74,29.69,28.04,435.71,439.12,363.53,3.12,Thursday,1,2016,1
2016-01-08,457.54,462.93,447.94,453.23,56993000,-1.05,15.0,-4.31,438.41,440.31,365.85,3.13,Friday,1,2016,1
2016-01-09,453.38,454.64,446.89,447.61,32278000,-1.24,7.75,-5.77,440.44,441.38,368.08,3.14,Saturday,1,2016,1
2016-01-10,448.24,448.31,440.35,447.99,35995900,0.08,7.96,-0.25,443.01,441.25,370.33,2.7,Sunday,1,2016,1
2016-01-11,448.7,450.66,443.86,448.43,40450000,0.1,6.81,-0.27,445.2,441.7,372.54,2.61,Monday,1,2016,1
2016-01-12,448.18,448.18,435.69,435.69,115607000,-2.84,12.49,-12.49,445.73,441.76,374.58,2.67,Tuesday,1,2016,1
2016-01-13,434.67,435.19,424.44,432.37,173888000,-0.76,10.74,-2.29,446.2,441.37,376.56,2.63,Wednesday,1,2016,1
2016-01-14,432.29,433.32,427.85,430.31,43945500,-0.48,5.48,-1.98,442.23,440.2,378.42,2.47,Thursday,1,2016,1
2016-01-15,430.26,430.26,364.33,364.33,153351008,-15.33,65.92,-65.92,429.53,437.18,379.46,3.69,Friday,1,2016,1
2016-01-16,365.07,390.56,354.91,387.54,120352000,6.37,35.64,22.46,420.95,434.9,380.86,3.91,Saturday,1,2016,1
2016-01-17,387.15,390.96,380.09,382.3,45319600,-1.35,10.87,-4.85,411.57,432.19,382.18,3.89,Sunday,1,2016,1
2016-01-18,381.73,388.1,376.67,387.17,54403900,1.27,11.44,5.43,402.81,429.68,383.49,3.9,Monday,1,2016,1
